VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RateCodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount
1,2015-01-01 18:00:15,2015-01-01 18:09:15,1,2.5,-73.97724151611328,40.74690246582031,1,N,-74.00211334228516,40.72634506225585,1,9.5,1.0,0.5,2.25,0.0,13.55
1,2015-01-01 18:00:15,2015-01-01 18:09:11,1,1.0,-73.98863983154298,40.75862503051758,1,N,-73.97563934326173,40.7612190246582,2,7.5,0.0,0.5,0.0,0.0,8.3
1,2015-01-01 18:00:16,2015-01-01 18:07:55,2,1.3,-73.98395538330078,40.743328094482415,1,N,-73.98417663574219,40.7579460144043,2,7.0,0.0,0.5,0.0,0.0,7.8
2,2015-01-01 18:00:16,2015-01-01 18:05:23,2,1.31,-74.01013946533203,40.71070861816406,1,N,-73.9927978515625,40.71254348754883,2,6.5,1.0,0.5,0.0,0.0,8.3
1,2015-01-01 18:00:16,2015-01-01 18:12:40,2,2.5,-73.98063659667969,40.765098571777344,1,N,-74.0082473754883,40.74747848510742,1,11.0,0.0,0.5,2.35,0.0,14.15
2,2015-01-01 18:00:16,2015-01-01 18:13:03,2,4.13,-73.96903228759766,40.76308059692383,1,N,-73.92787170410156,40.77670669555664,1,14.0,0.0,0.5,2.8,0.0,17.6
2,2015-01-01 18:00:16,2015-01-01 18:08:22,1,1.38,-73.9799575805664,40.76728820800781,1,N,-73.961669921875,40.77059555053711,1,7.5,1.0,0.5,2.12,0.0,11.42
2,2015-01-01 18:00:17,2015-01-01 18:13:54,5,4.29,-73.95391082763672,40.76673126220703,1,N,-73.91548919677734,40.8179817199707,2,14.5,0.0,0.5,0.0,0.0,15.3
1,2015-01-01 18:00:17,2015-01-01 18:06:54,1,1.4,-73.98986053466798,40.73323440551758,1,N,-74.00148773193358,40.74666213989258,2,7.0,0.0,0.5,0.0,0.0,7.8
1,2015-01-01 18:00:17,2015-01-01 18:10:19,2,2.2,-73.98992919921875,40.76234436035156,1,N,-73.9906005859375,40.738014221191406,1,9.5,0.0,0.5,2.05,0.0,12.35
2,2015-01-01 18:00:17,2015-01-01 18:06:44,2,1.23,-73.98259735107422,40.772560119628906,1,N,-73.99471282958984,40.75851821899415,2,6.5,0.0,0.5,0.0,0.0,7.3
2,2015-01-01 18:00:17,2015-01-01 18:04:29,3,1.3,-73.97654724121094,40.743858337402344,1,N,-73.9864730834961,40.72663116455078,2,6.0,0.0,0.5,0.0,0.0,6.8
2,2015-01-01 18:00:18,2015-01-01 18:16:11,1,4.57,-73.98487091064453,40.73883819580078,1,N,-73.92655181884766,40.75933837890625,1,16.0,0.0,0.5,3.0,0.0,19.8
1,2015-01-01 18:00:18,2015-01-01 18:08:29,2,1.8,-73.97476959228516,40.78790664672852,1,N,-73.98223876953125,40.76830673217773,1,8.0,0.0,0.5,1.75,0.0,10.55
2,2015-01-01 18:00:18,2015-01-01 18:15:50,1,2.52,-73.98551940917969,40.73857879638672,1,N,-73.9783706665039,40.76692581176758,2,12.0,0.0,0.5,0.0,0.0,12.8
2,2015-01-01 18:00:18,2015-01-01 18:04:30,1,1.28,-73.95671844482422,40.7798957824707,1,N,-73.97608947753906,40.788185119628906,2,6.0,1.0,0.5,0.0,0.0,7.8
2,2015-01-01 18:00:18,2015-01-01 18:11:06,1,2.63,-73.94952392578125,40.78111267089844,1,N,-73.98233795166014,40.774726867675774,1,10.5,0.0,0.5,1.5,0.0,12.8
1,2015-01-01 18:00:18,2015-01-01 18:07:49,1,1.4,-74.00614166259766,40.70620346069336,1,N,-74.01399993896483,40.71244430541992,2,7.5,0.0,0.5,0.0,0.0,8.3
1,2015-01-01 18:00:18,2015-01-01 18:10:24,1,2.0,-73.99296569824219,40.729103088378906,1,N,-74.0057144165039,40.74749755859375,2,9.0,0.0,0.5,0.0,0.0,9.8
2,2015-01-01 18:00:19,2015-01-01 18:17:04,1,4.48,-73.97927856445312,40.74970626831055,1,N,-73.97285461425781,40.79881286621094,1,16.0,0.0,0.5,2.0,0.0,18.8
2,2015-01-01 18:00:19,2015-01-01 18:07:09,1,1.22,-73.99404907226562,40.751258850097656,1,N,-73.99874114990234,40.74388122558594,2,7.0,0.0,0.5,0.0,0.0,7.8
1,2015-01-01 18:00:19,2015-01-01 18:05:31,1,0.9,-73.99069213867188,40.74578094482422,1,N,-73.9819107055664,40.75598526000977,2,5.5,0.0,0.5,0.0,0.0,6.3
1,2015-01-01 18:00:19,2015-01-01 18:16:41,1,2.9,-73.98726654052734,40.74925231933594,1,N,-73.97637176513672,40.78244018554688,2,12.5,0.0,0.5,0.0,0.0,13.3
1,2015-01-01 18:00:19,2015-01-01 18:12:56,2,2.6,-73.98262786865234,40.76691055297852,1,N,-73.9483642578125,40.77395248413085,1,11.5,0.0,0.5,0.0,0.0,12.3
2,2015-01-01 18:00:19,2015-01-01 18:17:25,1,2.1,-73.96903991699219,40.75213623046875,1,N,-73.99904632568358,40.761138916015625,1,12.0,1.0,0.5,1.0,0.0,14.8
2,2015-01-01 18:00:20,2015-01-01 18:08:59,1,1.8,-73.9822998046875,40.7747917175293,1,N,-73.96373748779298,40.77453994750977,2,8.5,0.0,0.5,0.0,0.0,9.3
2,2015-01-01 18:00:20,2015-01-01 18:09:58,3,1.15,-73.97807312011719,40.74600601196289,1,N,-73.99472045898438,40.75043487548828,2,7.5,0.0,0.5,0.0,0.0,8.3
1,2015-01-01 18:00:20,2015-01-01 18:04:02,1,0.8,-73.99709320068358,40.737205505371094,1,N,-73.99126434326173,40.747276306152344,1,5.0,0.0,0.5,1.0,0.0,6.8
1,2015-01-01 18:00:21,2015-01-01 18:08:40,2,1.4,-73.99964141845702,40.73345565795898,1,N,-73.99151611328125,40.75021743774415,2,7.5,0.0,0.5,0.0,0.0,8.3
