u,v,length
42428232,42428227,84.195
42428253,42439952,223.091
42428258,42428253,85.596
42428258,42430311,81.77
42428264,42439960,165.038
42428264,42428258,83.296
42428268,42430317,132.932
42428268,42428264,79.329
42428272,42428268,85.259
42428272,42439964,120.655
42428277,42430324,178.749
42428283,42439972,74.36
42428283,42428277,82.15
42428287,42428283,87.6
42428287,42437363,50.291
42428287,42430333,222.635
42428297,42439984,79.937
42428297,42432700,274.598
42428303,42435677,224.582
42428305,42439996,62.301
42428305,42428303,80.512
42428307,42432589,197.24
42428307,42428305,85.059
42428308,42440001,81.626
42428308,42428307,80.194
42428310,42435687,189.839
42428310,42428308,79.028
42428312,42440009,88.387
42428312,42428310,80.612
42428313,42435705,177.308
42428313,42428312,77.681
42428315,42428313,81.887
42428315,42440015,104.86
42428321,42428315,83.797
42428321,42435710,150.648
42428328,42428321,78.166
42428328,42431549,144.921
42428329,42440022,178.807
42428329,42428328,93.368
42428329,42435714,94.558
42428332,42428329,93.598
42428332,42440025,213.021
42428365,42436202,97.278
42428365,10316226053,13.255
42428368,42428365,202.97
42428371,42428368,111.224
42428373,42428371,35.823
42428374,42434412,105.859
42428374,42428373,32.628
42428376,42438155,117.119
42428376,42422042,86.322
42428377,42440335,132.578
42428377,42428376,68.214
42428379,42453934,128.349
42428379,42428377,14.417
42428385,42428379,61.073
42428385,8840333846,132.186
42428391,8262936586,41.758
42428391,1538237434,140.924
42428391,42428385,66.263
42428402,42445356,163.815
42428402,272195271,66.531
42428405,42428402,73.169
42428405,42430540,139.87
42428408,42429829,116.952
42428408,42428405,69.248
42428411,42428408,70.501
42428411,42445466,148.652
42428411,42452817,170.002
42428420,42445479,146.326
42428420,5706569905,76.531
42428425,42453777,176.746
42428425,42428420,77.032
42428428,42445484,151.771
42428428,42428425,80.046
42428431,42428428,68.025
42428433,42440820,82.336
42428433,5706569898,156.872
42428433,42428431,33.403
42428434,42428433,70.373
42428434,42439583,80.673
42428436,42428434,120.868
42428436,42452048,81.186
42428438,42432156,80.506
42428438,42428436,123.808
42428441,42442255,80.693
42428441,42428438,162.774
42428444,42428441,160.353
42428444,42449576,80.583
42428447,1919595915,15.427
42428447,42448552,83.619
42428454,42445520,115.282
42428454,1692433919,90.256
42428458,42440545,82.289
42428458,42428454,81.295
42428460,42445534,111.158
42428460,42428458,77.429
42428464,42449582,80.579
42428464,42428460,78.758
42428468,42428464,75.603
42428471,42439236,122.196
42428471,42428468,65.858
42428473,42445543,124.229
42428473,42428471,68.943
42428476,42449045,228.959
42428476,42428473,74.558
42428480,42430872,106.883
42428480,42428476,75.134
42428483,42455026,195.914
42428483,42428480,79.783
42428489,42446528,104.797
42428489,42428483,86.332
42428491,42436935,125.504
42428491,42428489,86.44
42428493,42440721,80.978
42428493,42428491,92.152
42428493,42438784,95.342
42428524,42431877,136.843
42428524,42444480,52.916
42428529,42428524,104.888
42428570,1241742627,204.734
42428570,1825841655,72.633
42428575,1241742563,111.876
42428575,42421972,91.077
42428579,42428575,90.683
42428579,42443313,67.699
42428588,42443313,118.548
42428588,42428579,136.667
42428590,42428588,47.8
42428590,6173564360,19.827
42428595,42428590,93.141
42428595,42439464,199.907
42428598,42429999,158.396
42428598,42428595,88.845
42428601,1061531787,18.574
42428601,42428598,89.772
42428604,42428601,89.149
42428604,1733614298,77.591
42428610,1061531597,20.851
42428610,42428604,90.54
42428634,42431004,234.153
42428634,1061531448,94.125
42428634,6207264908,42.576
42428637,42431005,207.605
42428637,42428634,90.603
42428640,1061531500,20.195
42428640,42428637,85.065
42428643,42431008,158.202
42428643,42428640,82.383
42428645,1061531566,18.734
42428645,42428643,85.32
42428648,42431015,116.675
42428648,42428645,84.071
42428653,1061531454,17.446
42428653,42431019,104.795
42428653,42428065,87.028
42428657,42431024,105.407
42428657,42421775,81.377
42428661,1061531818,18.051
42428661,42428657,80.8
42428663,42428661,79.815
42428663,42431030,107.574
42428670,42421809,81.177
42428670,42431034,114.874
42428674,1061531603,16.849
42428674,42431037,120.852
42428674,42428670,87.444
42428678,42428674,85.675
42428678,42431039,126.85
42428682,1061531810,16.774
42428682,42428678,80.092
42428689,1061531682,18.028
42428689,42422006,79.438
42428695,42428689,81.333
42428695,42431067,127.905
42428701,1061531736,18.045
42428701,42428695,78.783
42428705,42428701,79.647
42428705,42431089,127.293
42428709,1061531847,19.236
42428709,42428705,79.792
42428711,42428709,79.418
42428711,1061531593,23.079
42428714,42431099,126.311
42428714,42428711,86.964
42428714,1061531807,22.573
42428716,42431102,126.242
42428716,42428714,85.212
42428720,1061531727,18.258
42428720,42428716,79.465
42428723,42431106,127.398
42428723,42428720,80.171
42428725,1061531596,19.064
42428725,42428723,79.898
42428728,42431108,127.659
42428728,42428725,79.775
42428737,1061531802,19.745
42428737,42428728,79.164
42428742,42431113,126.733
42428742,42428737,80.452
42428746,1061531496,19.567
42428746,42428742,79.962
42428751,42431118,92.328
42428751,42428746,84.23
42428760,42431121,20.076
42428760,42421745,95.257
42428770,595314103,79.279
42428770,42441913,135.739
42428782,3579432156,18.944
42428782,42441926,116.774
42428782,42428770,77.572
42428790,7785782284,135.845
42428790,42428782,82.826
42428799,561035333,17.968
42428799,42428790,79.494
42428807,42431193,167.316
42428807,42428799,79.661
42428814,561035335,17.707
42428814,42428807,80.302
42428833,5004570631,191.277
42428833,42428814,80.456
42428844,1506591536,85.188
42428858,5763775589,22.416
42428858,42443181,84.7
42428858,42421857,169.411
42428863,561035343,26.71
42428863,7732571914,162.289
42428863,42428858,81.477
42428873,2541754747,19.839
42428873,42438228,267.409
42428873,7732654932,78.55
42428876,561035346,19.957
42428876,42429541,268.054
42428876,42428873,79.766
42428892,561035349,20.81
42428892,7732653970,165.743
42428892,7620631148,223.999
42428912,42441949,180.118
42428912,561035351,78.307
42428913,2383895311,492.433
42428913,42428912,80.52
42428914,42441950,193.688
42428914,42428913,78.778
42428917,561035356,18.629
42428917,42428914,79.393
42428919,42441951,185.272
42428919,42428917,79.231
42428922,561035358,18.918
42428922,42428919,80.138
42428926,42441952,145.166
42428926,42428922,78.565
42428928,561035360,18.071
42428928,42428926,78.366
42428931,561035361,19.594
42428931,42434264,135.977
42428931,42428928,86.745
42428934,561035362,19.91
42428934,42428931,84.543
42428936,42441956,119.427
42428936,42428934,79.531
42428939,561035364,18.747
42428939,42428936,79.223
42428941,42434343,133.007
42428941,42428939,79.842
42428944,561035366,17.824
42428944,42428941,78.627
42428947,42441774,160.986
42428947,42428944,78.279
42428951,561035368,20.144
42428951,42428947,80.152
42428953,42428951,79.793
42428953,42441805,272.554
42428956,561035370,18.418
42428956,42428953,163.925
42428958,561035371,18.234
42428958,42428956,85.773
42428961,42452130,39.542
42428961,595352904,53.55
42428962,561035373,18.121
42428962,42428961,79.441
42428962,2504882466,86.071
42428964,561035375,18.311
42428964,42427086,79.182
42428965,42427115,106.255
42428965,42428964,78.851
42428966,561035377,18.302
42428966,42428965,80.293
42428967,42427126,140.606
42428967,42428966,75.417
42428970,561035379,18.307
42428970,42428967,82.31
42428973,42427133,184.131
42428973,561035380,18.306
42428973,42428970,95.72
42428975,561035381,18.307
42428975,42428973,87.288
42428978,561035382,17.439
42428978,8344404001,69.697
42428978,42427136,233.729
42428980,2499757467,11.365
42428980,2541754688,17.48
42428984,2499757469,40.871
42428984,42427143,229.269
42428984,42428985,86.55
42428985,42427146,189.464
42428985,42428989,80.965
42428985,42428984,86.55
42428989,42433044,100.51
42428989,42428994,84.106
42428989,42428985,80.965
42428994,42427152,159.138
42428994,42428998,84.138
42428994,42428989,84.106
42428998,42449627,38.164
42428998,42429002,89.627
42428998,42428994,84.138
42429002,42429006,82.688
42429002,42428998,89.627
42429002,42427159,140.059
42429006,42436812,86.73
42429006,42429011,69.184
42429006,42429002,82.688
42429011,42427168,129.163
42429011,42429013,18.767
42429011,42429006,69.184
42429013,42429017,80.744
42429013,42429011,18.767
42429017,42449634,121.956
42429017,42429023,80.599
42429017,42429013,80.744
42429023,42428094,85.627
42429023,60926076,164.757
42429023,42429017,80.599
42429029,42428094,91.076
42429029,42429032,70.994
42429029,42444069,73.854
42429029,42444081,84.47
42429032,42429035,78.855
42429032,42429029,70.994
42429035,42438199,94.724
42429035,42429044,74.034
42429035,42429032,78.855
42429044,42454240,85.011
42429044,42449641,105.485
42429044,42429058,80.086
42429044,42429035,74.034
42429058,42449644,116.391
42429058,42429072,56.037
42429058,42429044,80.086
42429072,42445689,84.929
42429072,42429083,114.124
42429072,42429058,56.037
42429083,42436296,86.886
42429083,42429094,135.039
42429083,42429072,114.124
42429094,42450290,84.927
42429094,42429100,138.053
42429094,42429083,135.039
42429100,42454300,83.415
42429100,42429104,26.086
42429100,42429094,138.053
42429104,42453591,106.978
42429104,42427780,134.519
42429104,42429100,26.086
42429109,8904913030,95.214
42429109,42427780,51.422
42429174,42443524,180.485
42429174,42427844,176.286
42429174,42421783,153.184
42429184,42431180,160.667
42429184,42429211,169.657
42429184,1764647101,91.92
42429211,42431180,130.555
42429211,42429212,81.518
42429211,42429184,169.657
42429212,595729841,33.574
42429212,42429211,81.518
42429215,42432795,122
42429215,42441009,97.948
42429215,42429216,129.885
42429215,595729841,52.568
42429216,42440079,141.231
42429216,42429215,129.885
42429216,42429217,80.693
42429217,42437921,119.22
42429217,42429216,80.693
42429217,42429220,176.379
42429217,42445637,98.417
42429220,42437923,117.545
