index,osmid,y,x,street_count,highway,ref,geometry
793,42445171,40.7241745,-74.0102257,4,stop,,POINT (-74.0102257 40.7241745)
794,42445174,40.7242763,-74.0112346,3,traffic_signals,,POINT (-74.0112346 40.7242763)
795,42445291,40.717671,-74.015769,3,,,POINT (-74.015769 40.717671)
796,42445310,40.7495921,-74.0027848,4,traffic_signals,,POINT (-74.0027848 40.7495921)
797,42445314,40.7517211,-74.0078208,4,traffic_signals,,POINT (-74.0078208 40.7517211)
798,42445356,40.7154408,-74.0075519,4,traffic_signals,,POINT (-74.0075519 40.7154408)
799,42445357,40.7160188,-74.0088192,4,traffic_signals,,POINT (-74.0088192 40.7160188)
800,42445365,40.7477686,-73.9829619,4,traffic_signals,,POINT (-73.9829619 40.7477686)
801,42445374,40.7464087,-73.9797169,4,traffic_signals,,POINT (-73.9797169 40.7464087)
802,42445378,40.7457407,-73.9781134,4,traffic_signals,,POINT (-73.9781134 40.7457407)
803,42445382,40.7454055,-73.9773278,3,traffic_signals,,POINT (-73.9773278 40.7454055)
804,42445387,40.7445022,-73.9752025,3,traffic_signals,,POINT (-73.9752025 40.7445022)
805,42445390,40.7437863,-73.973508,4,traffic_signals,,POINT (-73.973508 40.7437863)
806,42445392,40.7431778,-73.9720697,4,traffic_signals,,POINT (-73.9720697 40.7431778)
807,42445404,40.7452501,-73.984794,4,traffic_signals,,POINT (-73.984794 40.7452501)
808,42445409,40.7445433,-73.9831115,4,traffic_signals,,POINT (-73.9831115 40.7445433)
809,42445413,40.7432118,-73.9799582,4,traffic_signals,,POINT (-73.9799582 40.7432118)
810,42445417,40.7412737,-73.9753382,4,traffic_signals,,POINT (-73.9753382 40.7412737)
811,42445466,40.7155864,-74.0030308,4,traffic_signals,,POINT (-74.0030308 40.7155864)
812,42445474,40.716182,-74.0025478,4,traffic_signals,,POINT (-74.0025478 40.716182)
813,42445479,40.716731,-74.002078,3,traffic_signals,,POINT (-74.002078 40.716731)
814,42445481,40.7173003,-74.0015648,4,traffic_signals,,POINT (-74.0015648 40.7173003)
815,42445484,40.717932,-74.000988,4,traffic_signals,,POINT (-74.000988 40.717932)
816,42445489,40.7200529,-73.9990418,4,traffic_signals,,POINT (-73.9990418 40.7200529)
817,42445498,40.723686,-73.996476,4,traffic_signals,,POINT (-73.996476 40.723686)
818,42445511,40.7251518,-73.9952749,4,traffic_signals,,POINT (-73.9952749 40.7251518)
819,42445520,40.72664,-73.994129,4,traffic_signals,,POINT (-73.994129 40.72664)
820,42445534,40.727867,-73.993147,4,traffic_signals,,POINT (-73.993147 40.727867)
821,42445543,40.730046,-73.991121,4,traffic_signals,,POINT (-73.991121 40.730046)
822,42445548,40.730615,-73.990646,4,traffic_signals,,POINT (-73.990646 40.730615)
823,42445558,40.7305518,-73.9904901,4,traffic_signals,,POINT (-73.9904901 40.7305518)
824,42445574,40.726435,-74.005658,5,traffic_signals,,POINT (-74.005658 40.726435)
825,42445603,40.7169743,-73.9944553,3,traffic_signals,,POINT (-73.9944553 40.7169743)
826,42445606,40.7176001,-73.9963251,4,traffic_signals,,POINT (-73.9963251 40.7176001)
827,42445612,40.7184427,-73.9987539,4,traffic_signals,,POINT (-73.9987539 40.7184427)
828,42445617,40.7155607,-73.9897482,3,traffic_signals,,POINT (-73.9897482 40.7155607)
829,42445620,40.7160318,-73.9913119,4,,,POINT (-73.9913119 40.7160318)
830,42445630,40.7144648,-73.9816369,3,traffic_signals,,POINT (-73.9816369 40.7144648)
831,42445649,40.7515813,-73.9822757,4,traffic_signals,,POINT (-73.9822757 40.7515813)
832,42445651,40.7509069,-73.9806768,4,traffic_signals,,POINT (-73.9806768 40.7509069)
833,42445653,40.7501829,-73.9789567,4,traffic_signals,,POINT (-73.9789567 40.7501829)
834,42445656,40.7495392,-73.9774292,4,traffic_signals,,POINT (-73.9774292 40.7495392)
835,42445661,40.7488692,-73.975839,4,traffic_signals,,POINT (-73.975839 40.7488692)
836,42445664,40.7485037,-73.9749714,4,traffic_signals,,POINT (-73.9749714 40.7485037)
837,42445666,40.7475701,-73.9727421,4,traffic_signals,,POINT (-73.9727421 40.7475701)
838,42445667,40.7469293,-73.9712165,3,traffic_signals,,POINT (-73.9712165 40.7469293)
839,42445700,40.7196981,-74.0059645,3,,,POINT (-74.0059645 40.7196981)
840,42445702,40.7197847,-74.0068153,4,traffic_signals,,POINT (-74.0068153 40.7197847)
841,42445766,40.742834,-74.007705,4,traffic_signals,,POINT (-74.007705 40.742834)
842,42445769,40.7431586,-74.0085326,4,traffic_signals,,POINT (-74.0085326 40.7431586)
843,42445804,40.7497536,-73.9699431,3,,,POINT (-73.9699431 40.7497536)
844,42445867,40.7408836,-73.9879839,3,traffic_signals,,POINT (-73.9879839 40.7408836)
845,42445879,40.742157,-73.9870446,3,traffic_signals,,POINT (-73.9870446 40.742157)
846,42445885,40.7433908,-73.9861457,4,traffic_signals,,POINT (-73.9861457 40.7433908)
847,42445888,40.7440046,-73.9856985,4,traffic_signals,,POINT (-73.9856985 40.7440046)
848,42445896,40.7458588,-73.9843457,4,traffic_signals,,POINT (-73.9843457 40.7458588)
849,42445899,40.7464825,-73.9838914,4,traffic_signals,,POINT (-73.9838914 40.7464825)
850,42445903,40.7471011,-73.9834426,4,traffic_signals,,POINT (-73.9834426 40.7471011)
851,42445908,40.7490542,-73.9820215,4,traffic_signals,,POINT (-73.9820215 40.7490542)
852,42445909,40.7496645,-73.9815704,4,traffic_signals,,POINT (-73.9815704 40.7496645)
853,42445910,40.7502832,-73.9811233,4,traffic_signals,,POINT (-73.9811233 40.7502832)
854,42445914,40.7515286,-73.9802259,4,traffic_signals,,POINT (-73.9802259 40.7515286)
855,42446245,40.7195316,-73.9838123,1,turning_circle,,POINT (-73.9838123 40.7195316)
856,42446266,40.7433005,-73.9840243,4,traffic_signals,,POINT (-73.9840243 40.7433005)
857,42446270,40.7426439,-73.9824628,4,traffic_signals,,POINT (-73.9824628 40.7426439)
858,42446275,40.7419683,-73.9808564,4,traffic_signals,,POINT (-73.9808564 40.7419683)
859,42446293,40.7400362,-73.9762474,3,traffic_signals,,POINT (-73.9762474 40.7400362)
860,42446398,40.7188934,-73.9754842,4,,,POINT (-73.9754842 40.7188934)
861,42446424,40.7154997,-73.9772223,3,,,POINT (-73.9772223 40.7154997)
862,42446488,40.7522048,-73.9818235,4,traffic_signals,,POINT (-73.9818235 40.7522048)
863,42446521,40.733922,-73.992792,4,traffic_signals,,POINT (-73.992792 40.733922)
864,42446528,40.732756,-73.990027,4,traffic_signals,,POINT (-73.990027 40.732756)
865,42446533,40.7319637,-73.9881498,4,traffic_signals,,POINT (-73.9881498 40.7319637)
866,42446547,40.7300191,-73.983536,4,traffic_signals,,POINT (-73.983536 40.7300191)
867,42446552,40.729086,-73.981325,4,traffic_signals,,POINT (-73.981325 40.729086)
868,42446562,40.728106,-73.978998,4,traffic_signals,,POINT (-73.978998 40.728106)
869,42446571,40.7271037,-73.9766295,3,traffic_signals,,POINT (-73.9766295 40.7271037)
870,42446584,40.726109,-73.974269,3,traffic_signals,,POINT (-73.974269 40.726109)
871,42446701,40.747774,-73.9850381,4,traffic_signals,,POINT (-73.9850381 40.747774)
872,42446800,40.7160103,-74.0152427,3,,,POINT (-74.0152427 40.7160103)
873,42446814,40.717113,-74.0145636,4,traffic_signals,,POINT (-74.0145636 40.717113)
874,42446825,40.7169942,-74.0143011,4,traffic_signals,,POINT (-74.0143011 40.7169942)
875,42446849,40.715103,-74.0159377,3,,,POINT (-74.0159377 40.715103)
876,42446875,40.7352035,-73.98579,4,traffic_signals,,POINT (-73.98579 40.7352035)
877,42446879,40.7345982,-73.9843469,3,,,POINT (-73.9843469 40.7345982)
878,42446885,40.7339281,-73.9827492,3,,,POINT (-73.9827492 40.7339281)
879,42446889,40.7332587,-73.9811531,3,traffic_signals,,POINT (-73.9811531 40.7332587)
880,42446902,40.732318,-74.001663,3,,,POINT (-74.001663 40.732318)
881,42446925,40.7395123,-73.9847532,4,traffic_signals,,POINT (-73.9847532 40.7395123)
882,42446932,40.7420239,-73.9829135,4,traffic_signals,,POINT (-73.9829135 40.7420239)
883,42446933,40.744495,-73.9811045,4,traffic_signals,,POINT (-73.9811045 40.744495)
884,42446934,40.7451153,-73.9806499,4,traffic_signals,,POINT (-73.9806499 40.7451153)
885,42446935,40.7457353,-73.9801966,4,traffic_signals,,POINT (-73.9801966 40.7457353)
886,42446941,40.7476825,-73.9787824,4,traffic_signals,,POINT (-73.9787824 40.7476825)
887,42446942,40.7482985,-73.9783302,4,traffic_signals,,POINT (-73.9783302 40.7482985)
888,42446945,40.7489216,-73.9778802,4,traffic_signals,,POINT (-73.9778802 40.7489216)
889,42446949,40.7501605,-73.9769755,4,traffic_signals,,POINT (-73.9769755 40.7501605)
890,42446971,40.7521215,-73.9755534,3,traffic_signals,,POINT (-73.9755534 40.7521215)
891,42447246,40.7200394,-74.0039146,4,traffic_signals,,POINT (-74.0039146 40.7200394)
892,42447249,40.7194841,-74.0043702,4,traffic_signals,,POINT (-74.0043702 40.7194841)
893,42447255,40.7173295,-73.9994477,4,traffic_signals,,POINT (-73.9994477 40.7173295)
894,42447428,40.7162003,-73.9875301,3,traffic_signals,,POINT (-73.9875301 40.7162003)
895,42447435,40.7217853,-73.9846444,3,,,POINT (-73.9846444 40.7217853)
896,42448162,40.718278,-74.0070866,5,traffic_signals,,POINT (-74.0070866 40.718278)
897,42448171,40.7176834,-74.0057919,4,traffic_signals,,POINT (-74.0057919 40.7176834)
898,42448549,40.7281021,-74.0021007,4,traffic_signals,,POINT (-74.0021007 40.7281021)
899,42448552,40.7258712,-73.9975736,4,traffic_signals,,POINT (-73.9975736 40.7258712)
900,42448558,40.7270026,-73.9998695,4,traffic_signals,,POINT (-73.9998695 40.7270026)
