index,osmid,y,x,highway,street_count,ref,geometry
8774,103275489,40.873499,-74.000585,turning_circle,1,,POINT (-74.000585 40.873499)
8775,103275590,40.870523,-73.968036,,3,,POINT (-73.968036 40.870523)
8776,103275592,40.870771,-73.967799,,1,,POINT (-73.967799 40.870771)
8777,103276235,40.8586903,-74.0246463,,3,,POINT (-74.0246463 40.8586903)
8778,103276238,40.8591733,-74.0245287,,3,,POINT (-74.0245287 40.8591733)
8779,103276241,40.8610484,-74.0240767,,3,,POINT (-74.0240767 40.8610484)
8780,103276242,40.8622426,-74.0237905,,3,,POINT (-74.0237905 40.8622426)
8781,103276285,40.8542824,-73.9757329,,3,,POINT (-73.9757329 40.8542824)
8782,103276287,40.855326,-73.977338,traffic_signals,4,,POINT (-73.977338 40.855326)
8783,103276294,40.8569433,-73.9793681,,3,,POINT (-73.9793681 40.8569433)
8784,103277081,40.835813,-73.979522,,3,,POINT (-73.979522 40.835813)
8785,103277524,40.8812961,-73.9753378,,4,,POINT (-73.9753378 40.8812961)
8786,103277526,40.879541,-73.976525,,3,,POINT (-73.976525 40.879541)
8787,103277586,40.836562,-74.016572,,3,,POINT (-74.016572 40.836562)
8788,103277590,40.836789,-74.016942,,4,,POINT (-74.016942 40.836789)
8789,103277688,40.851926,-73.993822,,4,,POINT (-73.993822 40.851926)
8790,103277690,40.850665,-73.991674,,4,,POINT (-73.991674 40.850665)
8791,103277692,40.849344,-73.989369,,4,,POINT (-73.989369 40.849344)
8792,103277693,40.84768,-73.986491,,4,,POINT (-73.986491 40.84768)
8793,103277706,40.836943,-74.016139,,3,,POINT (-74.016139 40.836943)
8794,103278098,40.8775275,-74.019739,,3,,POINT (-74.019739 40.8775275)
8795,103278389,40.8663239,-73.9656405,,3,,POINT (-73.9656405 40.8663239)
8796,103278391,40.8675959,-73.9677955,,4,,POINT (-73.9677955 40.8675959)
8797,103278395,40.8678655,-73.9682497,,1,,POINT (-73.9682497 40.8678655)
8798,103279179,40.87363,-73.959444,,3,,POINT (-73.959444 40.87363)
8799,103280486,40.8527073,-73.9653462,traffic_signals,3,,POINT (-73.9653462 40.8527073)
8800,103280814,40.8720489,-74.0216645,,3,,POINT (-74.0216645 40.8720489)
8801,103280820,40.876917,-74.020062,,3,,POINT (-74.020062 40.876917)
8802,103280826,40.879852,-74.0185139,,3,,POINT (-74.0185139 40.879852)
8803,103280828,40.8799373,-74.018465,,3,,POINT (-74.018465 40.8799373)
8804,103281224,40.8267205,-73.9897172,,4,,POINT (-73.9897172 40.8267205)
8805,103281348,40.8625031,-73.9591282,,4,,POINT (-73.9591282 40.8625031)
8806,103281351,40.864607,-73.962655,,4,,POINT (-73.962655 40.864607)
8807,103281605,40.8216982,-73.980871,,1,,POINT (-73.980871 40.8216982)
8808,103282019,40.8251256,-73.985278,,4,,POINT (-73.985278 40.8251256)
8809,103282020,40.8263109,-73.9844576,,4,,POINT (-73.9844576 40.8263109)
8810,103282021,40.8269989,-73.9841546,,4,,POINT (-73.9841546 40.8269989)
8811,103282022,40.8304978,-73.9827496,,4,,POINT (-73.9827496 40.8304978)
8812,103282024,40.8311333,-73.9827359,,1,,POINT (-73.9827359 40.8311333)
8813,103282026,40.835779,-73.98133,,3,,POINT (-73.98133 40.835779)
8814,103282053,40.835817,-73.980974,,3,,POINT (-73.980974 40.835817)
8815,103282077,40.8468451,-73.9749176,,1,,POINT (-73.9749176 40.8468451)
8816,103282235,40.859841,-73.983762,,3,,POINT (-73.983762 40.859841)
8817,103282242,40.859863,-73.983894,,3,,POINT (-73.983894 40.859863)
8818,103282382,40.8700008,-74.012894,,3,,POINT (-74.012894 40.8700008)
8819,103282420,40.864193,-73.992304,traffic_signals,4,,POINT (-73.992304 40.864193)
8820,103282424,40.8626794,-73.9895107,,3,,POINT (-73.9895107 40.8626794)
8821,103282431,40.860007,-73.984757,,3,,POINT (-73.984757 40.860007)
8822,103282517,40.881479,-74.023397,,1,,POINT (-74.023397 40.881479)
8823,103282522,40.8791485,-74.0163187,,3,,POINT (-74.0163187 40.8791485)
8824,103283614,40.856281,-74.023614,,4,,POINT (-74.023614 40.856281)
8825,103284209,40.867223,-73.961604,,3,,POINT (-73.961604 40.867223)
8826,103284210,40.868346,-73.963615,,3,,POINT (-73.963615 40.868346)
8827,103284386,40.8145452,-73.9893762,,2,,POINT (-73.9893762 40.8145452)
8828,103285677,40.8653832,-73.9827624,,1,,POINT (-73.9827624 40.8653832)
8829,103285693,40.8562671,-73.9765712,,3,,POINT (-73.9765712 40.8562671)
