u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge,ref,tunnel,width,access,junction
42423549,370898427,0,"[432550168, 5671887]",FDR Drive,motorway,40 mph,True,False,1034.838,"LINESTRING (-73.9723599 40.7298812, -73.9722793 40.729796, -73.9722059 40.7297053, -73.9720967 40.729539, -73.9720178 40.7294207, -73.9719616 40.729316, -73.9719175 40.7292203, -73.9718752 40.7291137, -73.9718434 40.7290104, -73.9718134 40.7289004, -73.9717919 40.728795, -73.9717783 40.7286931, -73.9717692 40.728585, -73.9717652 40.7284812, -73.9717698 40.7283721, -73.9717935 40.7281681, -73.9718205 40.7279491, -73.9718545 40.7277134, -73.9719439 40.727077, -73.9719579 40.7269701, -73.9719771 40.7268528, -73.9720044 40.7267256, -73.972027 40.726642, -73.9720543 40.7265476, -73.9720894 40.7264435, -73.97213 40.726334, -73.9721697 40.726241, -73.9722158 40.7261423, -73.9723182 40.725937, -73.9724211 40.7257391, -73.9725359 40.7255344, -73.9726509 40.7253396, -73.9727718 40.7251471, -73.9728978 40.724946, -73.9730185 40.7247561, -73.9731422 40.7245593, -73.9732686 40.7243583, -73.9733889 40.7241646, -73.9741273 40.722991, -73.9741911 40.7228957, -73.9742522 40.7227918, -73.9743063 40.7226944, -73.9743603 40.7225865, -73.9744048 40.72249, -73.9744485 40.7223851, -73.9744896 40.722282, -73.9745308 40.7221687, -73.9745613 40.722064, -73.9745864 40.7219614, -73.9746142 40.7218499, -73.974632 40.7217417, -73.9746621 40.7215276, -73.9747151 40.721087)",3,,FDR,,,,
42423774,42426865,0,"[988994185, 959157335]",FDR Drive,motorway,40 mph,True,False,117.78,"LINESTRING (-73.9738156 40.738339, -73.9743428 40.7376221, -73.974504 40.7374172)",4,,FDR,,,,
42423774,370912817,0,"[33117933, 587038047]",FDR Drive,motorway,40 mph,True,False,273.331,"LINESTRING (-73.9729042 40.740672, -73.9730467 40.7399289, -73.9730944 40.7397291, -73.9731548 40.7395167, -73.9732353 40.7393004, -73.9733194 40.7390916, -73.9734334 40.7388729, -73.9735277 40.7387147, -73.9736228 40.7385668, -73.9738156 40.738339)",3,yes,FDR,,,,
42423774,4274141356,0,5669221,,motorway_link,,True,False,232.397,"LINESTRING (-73.9731358 40.740344, -73.9731093 40.7402501, -73.973158 40.739961, -73.9731932 40.7397857, -73.9732264 40.7396444, -73.9732904 40.7394589, -73.9733413 40.7393187, -73.9734038 40.7391819, -73.973477 40.7390188, -73.9736125 40.7387759, -73.9737094 40.7386019, -73.9738156 40.738339)",,,,,,,
42424258,42424408,0,"[982489289, 46116442]",,motorway_link,25 mph,True,False,132.781,"LINESTRING (-74.0067668 40.7217241, -74.0068558 40.7217042, -74.0069206 40.7216951, -74.0069942 40.721687, -74.0070752 40.7216824, -74.00715 40.7216797, -74.0072196 40.7216817, -74.0075024 40.7217047, -74.007537 40.7217075, -74.0075982 40.7217143, -74.0076575 40.7217231, -74.0077166 40.7217372, -74.0077926 40.7217625, -74.0078801 40.7217957, -74.0079488 40.7218243, -74.0080186 40.7218562, -74.0080835 40.7218881, -74.0081143 40.7219062, -74.0081458 40.7219246, -74.0081938 40.7219567, -74.0082309 40.7219848)","['1', '2']",,,,,,
42424258,42424334,0,"[997455683, 263563003]",Holland Tunnel Rotary,motorway,25 mph,True,False,133.751,"LINESTRING (-74.0067668 40.7217241, -74.0068309 40.7216914, -74.0068965 40.7216642, -74.0069544 40.7216444, -74.0070259 40.7216296, -74.0070953 40.7216216, -74.0071716 40.7216172, -74.0073152 40.7216171, -74.0074637 40.7216178, -74.0075326 40.7216126, -74.0075986 40.721604, -74.0076552 40.7215909, -74.0077059 40.7215742, -74.0077582 40.7215516, -74.0078026 40.7215274, -74.0078471 40.7214979, -74.0078807 40.7214697, -74.007912 40.7214384, -74.0079363 40.721408, -74.0079546 40.7213785, -74.0079723 40.721345, -74.0079862 40.7213081, -74.0079952 40.7212674, -74.0079986 40.721233, -74.0079995 40.7211998)","['2', '3']",,I 78,,,,
42424334,42424610,0,"[5669320, 1059459147, 421832647]",,motorway_link,25 mph,True,False,88.47699999999999,"LINESTRING (-74.0079995 40.7211998, -74.0079871 40.7209229, -74.0079848 40.7208711, -74.0079876 40.7208455, -74.0079943 40.7208177, -74.0080073 40.7207942, -74.0080302 40.72077, -74.0080596 40.7207495, -74.0081001 40.7207315, -74.0081447 40.7207178, -74.0081924 40.7207094, -74.008252 40.720702, -74.0083183 40.7206909, -74.008334 40.7206869, -74.0083662 40.7206788, -74.0084228 40.7206615, -74.008466 40.7206456)","['1', '2']",,,,,,
42424334,42424347,0,465255350,Holland Tunnel Rotary,motorway,25 mph,True,False,36.784000000000006,"LINESTRING (-74.0079995 40.7211998, -74.0079922 40.7211577, -74.0079848 40.7211232, -74.0079728 40.721087, -74.0079546 40.7210523, -74.0079314 40.7210184, -74.007907 40.7209892, -74.0078662 40.7209496, -74.0078146 40.7209099)",2,,I 78,,,,
42424347,4137021568,0,"[421832648, 5669321]",,motorway_link,25 mph,True,False,92.95399999999998,"LINESTRING (-74.0078146 40.7209099, -74.0077694 40.7208617, -74.0077304 40.7208269, -74.0076733 40.720786, -74.00762 40.7207545, -74.0075593 40.7207244, -74.0073702 40.7206385, -74.0072913 40.7206017, -74.0071783 40.7205555, -74.0071051 40.7205279, -74.0070455 40.7205079, -74.0069747 40.7204904, -74.006894 40.7204753)",2,,,,,,
42424347,42424354,0,541059722,Holland Tunnel Rotary,motorway,25 mph,True,False,25.113999999999997,"LINESTRING (-74.0078146 40.7209099, -74.0077536 40.7208779, -74.0076856 40.7208506, -74.0076226 40.7208328, -74.0075453 40.7208183)",2,,I 78,,,,
